b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Sewing Binding -204 Page',b'Tk.258',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Math Margin Khata (Standard Large) - 4 Pcs - Stapler Binding -204 Page',b'Tk.247',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Stapler Binding -204 Page',b'Tk.247',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Math Margin Khata (Student Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.95',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh English Khata (Student Large) - 4 Pcs - Stapler Binding-84 Page',b'Tk.95',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Bangla Khata (Student Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.95',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Math Plain Khata (Standard Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.106',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh English Khata (Standard Large) -4 Pcs - Stapler Binding -84 Page',b'Tk.106',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Bangla Khata (Standard Large) - 4 Pcs - Stapler Binding -84 Page',b'Tk.106',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Bangla Khata (Standard Large) - 4 Pcs - Stapler Binding -124 Page',b'Tk.152',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Fresh Kids Math Square Khata  (Standard) - 4 Pcs - Stapler Binding -124 Page',b'Tk.95',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Top  - Janani Fast Gel Pen -5 Pcs - Red Ink',b'Tk.50',b'\xe0\xa6\x9f\xe0\xa6\xaa-\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xa8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80 \xe0\xa6\x87\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb8 \xe0\xa6\xb2\xe0\xa6\xbf:'
b'China Steel Pencil \xe2\x80\x8dand Pen Box - 1 Pcs - Pepsi Design',b'Tk.108',b'\xe0\xa6\xb9\xe0\xa7\x83\xe0\xa6\xa6 (\xe0\xa6\x9a\xe0\xa6\xbe\xe0\xa7\x9f\xe0\xa6\xa8\xe0\xa6\xbe \xe0\xa6\xb8\xe0\xa6\xbe\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xb2\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa7\x9f\xe0\xa6\xbe\xe0\xa6\xb0)'
"b'Montex Hy-Speed Smart Sparkle Gel Pen - 1 Pack =10 Pcs (Multicolor) - Orange, Green, Golden, Grey, Purple, Pink, Blue, Violet, Black, Red.'",b'Tk.142',b'\xe0\xa6\xae\xe0\xa6\xa8\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8 \xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xa8 \xe0\xa6\x87\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb8'
"b'Matador Glitter Color Gel Pen - 1 Pack - 5 Pcs - Orange, Green, Golden, Grey, Purple Color.'",b'Tk.75',b'Matador Group'
b'Matador Officemate Cutter Knife Big - 01 Pcs (Any Color) - M-37 (Anti Cutter)',b'Tk.80',b'Matador Group'
b'Matador Officemate Mini Stapler - 01 Pcs (Any Color) - Using Big Pin (24/6 Staples)',b'Tk.50',b'Matador Group'
b'Fresh A4 Paper - 80 GSM (500 Page) - 1 Pack',b'Tk.300',b'\xe0\xa6\xab\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xb6 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80'
b'Khair Peelu Miswak In Holder - 01 Pcs',b'Tk.40',b'Khair Natural'
b'Matador Officemate Punch (Regular) - 01 Pcs - Any Color',b'Tk.110',b'Matador Group'
b'Top - Janani Easy Bag - 01 Pcs (Any Color)',b'Tk.30',b'\xe0\xa6\x9f\xe0\xa6\xaa-\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xa8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80 \xe0\xa6\x87\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb8 \xe0\xa6\xb2\xe0\xa6\xbf:'
b'Al Fares - Al-Rehab Concentrated Perfume For Men and Women -6 ML',b'Tk.158',b'Al-Rehab'
b'Saat Safa - Al-Rehab Concentrated Perfume For Men and Women -6 ML',b'Tk.158',b'Al-Rehab'
b'Al-Nuaim Lords Attar - 8ml',b'Tk.146',b'Al-Nuaim'
b'Al-Nuaim Arabian Oudh Attar - 6ml',b'Tk.145',b'Al-Nuaim'
b'Econo Ocean Pen - Black Color Body (5 pcs) - Black Color Body',b'Tk.50',b'GQ Ball Pen Industries'
b'Key Ring : Kevin the Minion',b'Tk.120',b'\xe0\xa6\x89\xe0\xa6\x87\xe0\xa6\xb6\xe0\xa6\xac\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8'
b'Key Ring : Marie',b'Tk.120',b'\xe0\xa6\x89\xe0\xa6\x87\xe0\xa6\xb6\xe0\xa6\xac\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8'
b'Key Ring : Pulsar Bike',b'Tk.150',b'\xe0\xa6\x89\xe0\xa6\x87\xe0\xa6\xb6\xe0\xa6\xac\xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xb8'
b'Al-Nuaim Sandal Woody Attar-2.25ml',b'Tk.80',b'Al-Nuaim'
b'Al-Nuaim Salma Attar-2.25ml',b'Tk.80',b'Al-Nuaim'
b'Shy Face Vinyl Decals Removable Sticker For Washroom - (WR92)',b'Tk.199',b'\xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\xa1\xe0\xa7\x87\xe0\xa6\x95\xe0\xa7\x8b\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\x9f\xe0\xa6\xb0'
b'Al-Nuamin White Oudh Attar -8 ml (Unisex)',b'Tk.124',b'Al-Nuaim'
b'Matador Student Backpack (MA01) - Brown',"b'Tk.1,200'",b'\xe0\xa6\xae\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x9f\xe0\xa6\xbe\xe0\xa6\xa1\xe0\xa7\x8b\xe0\xa6\xb0 \xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x95\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x95'
b'Matador Student Backpack (MA01) - Maroon',"b'Tk.1,200'",b'\xe0\xa6\xae\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x9f\xe0\xa6\xbe\xe0\xa6\xa1\xe0\xa7\x8b\xe0\xa6\xb0 \xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x95\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x95'
b'Matador Officemate Staple Pin (Big) - 01 Box (10 Pack)',b'Tk.152',b'Matador Group'
b'Matador Officemate Staple Pin (Big) - 01 Pack',b'Tk.15',b'Matador Group'
b'Matador Officemate Correction Pen - 01 Pcs',b'Tk.50',b'Matador Group'
b'Matador White Board Marker-Black (Mark Pro 3000) - 1 Pcs',b'Tk.35',b'Matador Group'
b'Matador White Board Marker-Black (Mark Pro 3000) - 12 Pcs',b'Tk.399',b'Matador Group'
b'Matador Doraemon Pencil Case - 01 Pcs (Any Color)',b'Tk.50',b'Matador Group'
b'England Old Archaeology Design Floral Spiral Khata (White) - 300 Pages',b'Tk.90',b'Hearts Bangladesh'
b'England Old Archaeology Design Floral Spiral Khata (White) - 120 Pages',b'Tk.48',b'Hearts Bangladesh'
b'Etcbooth Exercise Mathematics Khata (EEB-06)',b'Tk.60',b'ETCBOOTH'
b'Etcbooth Exercise Mathematics Khata (EEB-05)',b'Tk.42',b'ETCBOOTH'
b'Etcbooth Exercise Bangla Khata (EEB-04)',b'Tk.42',b'ETCBOOTH'
b'Etcbooth Exercise Mathematics Khata (EEB-03)',b'Tk.32',b'ETCBOOTH'
b'Etcbooth Exercise English Khata (EEB-02)',b'Tk.32',b'ETCBOOTH'
b'Etcbooth Exercise Bangla Khata (EEB-01)',b'Tk.32',b'ETCBOOTH'
b'Matador Twinkle Eraser - 1 Box (24 Pcs)',b'Tk.216',b'Matador Group'
b'Matador Report Cover (Plastic cilp) - 01 Pcs (Any color)',b'Tk.15',b'Matador Group'
b'Matador Zipper Admit Twin - 01 Pcs (Any Design)',b'Tk.12',b'Matador Group'
b'Matador Officemate Stapler (Big) -01 Pcs (Any Color)',b'Tk.115',b'Matador Group'
b'Matador All Time Scale (15cm) - 01 Pcs',b'Tk.10',b'Matador Group'
b'Matador All Time Scale (30cm) - 01 Pcs',b'Tk.15',b'Matador Group'
b'Matador Genius HB Pencils - 1 Pack',b'Tk.102',b'Matador Group'
b'Matador Genius 2B Pencils - 1 Pack',b'Tk.102',b'Matador Group'
b'Matador Venus 4B Pencil - 1 Pack',b'Tk.120',b'Matador Group'
b'Matador Radiant Premium Ballpen - Black Ink - 06 Pcs',b'Tk.60',b'Matador Group'
b'Matador Ocean Gel - Black Ink - 05 Pcs',b'Tk.50',b'Matador Group'
b'Matador Ocean Gel - Blue Ink - 05 Pcs',b'Tk.50',b'Matador Group'
b'Matador Aqua Gel Pen - Blue Ink - 05 Pcs',b'Tk.50',b'Matador Group'
b'Matador Aqua Gel Pen - Black Ink - 05 Pcs',b'Tk.50',b'Matador Group'
b'Matador i-teen Gel pen - Black Ink - 06 Pcs',b'Tk.72',b'Matador Group'
b'Matador Envoy Premium Ballpen - Black Ink - 05 Pcs',b'Tk.50',b'Matador Group'
b'Faber Castell Glue Stick - 01 Pcs',b'Tk.30',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Bubble Mechanical pencil 0.5 mm (Extra 12 Leads) - Any Color',b'Tk.110',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Faber Castell Fibre-Trip Colour markers Pen 45F-(01 Pack - 12) Pcs)',b'Tk.70',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Faber Castell Artist Water Color - 1 Pack - 12 Colors',b'Tk.240',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Faber Castell  Oil Pastels New - 36 Colors',b'Tk.400',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Faber Castell Textliner - Green Color - 01 Pcs',b'Tk.35',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Faber Castell Scale - 12 - Slim',b'Tk.25',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Small Scale - 6',b'Tk.12',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Faber Castell Geometry Box',b'Tk.200',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Permanent Marker-1 pcs (Red)',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Permanent Marker-1 pcs (Green)',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Permanent Marker-1 pcs (Blue)',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Permanent Marker-1 pcs (Black Ink)',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'White Board Marker-1 pcs (Red)',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'White Board Marker-1 pcs (Green)',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'White Board Marker-1 pcs (Blue)',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'White Board Marker-1 pcs (Black Ink )',b'Tk.40',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Water Colour pencil Long  (36 colours) With Free High Quality Brush',b'Tk.756',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Classic Color Short (12 Colors)',b'Tk.94',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Gold Faber 2H(12 Pencil)',b'Tk.274',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Gold Faber 6B(12 Pencil)',b'Tk.304',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Gold Faber 4B(12 Pencil)',b'Tk.274',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Gold Faber 3B(12 Pencil)',b'Tk.251',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Gold Faber 2B (12 Pencil)',b'Tk.190',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Gold Faber HB (12 Pencil)',b'Tk.190',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Red Matt 2B (12 Pencil)',b'Tk.102',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Red Matt HB Pencil (12 Pcs)',b'Tk.102',b'\xe0\xa6\xab\xe0\xa7\x87\xe0\xa6\xac\xe0\xa6\xbe\xe0\xa6\xb0 \xe0\xa6\x95\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x87\xe0\xa6\xb2'
b'Sketch Book - River Sitde Design',b'Tk.100',b'Hearts Bangladesh'
b'Sketch Book - \xe0\xa6\x9d\xe0\xa7\x81\xe0\xa6\xb2\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa4 \xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\x9c \xe0\xa6\xa1\xe0\xa6\xbf\xe0\xa6\x9c\xe0\xa6\xbe\xe0\xa6\x87\xe0\xa6\xa8',b'Tk.100',b'Hearts Bangladesh'
b'Al-Nuaim Attar Rooh e Kasturi-6ml',b'Tk.120',b'Al-Nuaim'
b'Al-Nuaim Attar Open Black-6 ml',b'Tk.120',b'Al-Nuaim'
b'Cyan Tasbih White And Skey Blue',b'Tk.80',b'Al-Ashaq Foreign Ator House'
b'Cyan Tasbih White And Blue',b'Tk.80',b'Al-Ashaq Foreign Ator House'
b'Cyan Tasbih White',b'Tk.90',b'Al-Ashaq Foreign Ator House'
b'Al-Rehab Rasha Attar-6 ml',b'Tk.180',b'Al-Rehab'
b'Matador Student Backpack (MA01) - Blue',"b'Tk.1,200'",b'\xe0\xa6\xae\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x9f\xe0\xa6\xbe\xe0\xa6\xa1\xe0\xa7\x8b\xe0\xa6\xb0 \xe0\xa6\xac\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x95\xe0\xa6\xaa\xe0\xa7\x8d\xe0\xa6\xaf\xe0\xa6\xbe\xe0\xa6\x95'
b'Black Oud Otoori Arabian  Perfumes  Attar-15ml',b'Tk.468',b'Otoori Perfumes'
b'Khata Chain Breaker - Spiral Notebook [300 Pages] [Black  - RV_0018',b'Tk.85',b'\xe0\xa6\xb0\xe0\xa7\x87\xe0\xa6\xad\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa6\xbf \xe0\xa6\xaa\xe0\xa6\xbe\xe0\xa6\xac\xe0\xa6\xb2\xe0\xa6\xbf\xe0\xa6\x95\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xb8'
b'Top - Janani Liner Bag - 01 Pcs (Any Color End Binding)',b'Tk.40',b'\xe0\xa6\x9f\xe0\xa6\xaa-\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xa8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80 \xe0\xa6\x87\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb8 \xe0\xa6\xb2\xe0\xa6\xbf:'
b'Pencil Box 883 With Cutter Box And Double Chamber - 01 Pcs (Any Style and Color)',b'Tk.152',b'\xe0\xa6\x9f\xe0\xa6\xaa-\xe0\xa6\xaa\xe0\xa7\x87\xe0\xa6\xa8 \xe0\xa6\x8f\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1 \xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x87\xe0\xa6\xb6\xe0\xa6\xa8\xe0\xa6\xbe\xe0\xa6\xb0\xe0\xa7\x80 \xe0\xa6\x87\xe0\xa6\xa8\xe0\xa7\x8d\xe0\xa6\xa1\xe0\xa6\xbe\xe0\xa6\xb8\xe0\xa7\x8d\xe0\xa6\x9f\xe0\xa7\x8d\xe0\xa6\xb0\xe0\xa6\xbf\xe0\xa6\xb8 \xe0\xa6\xb2\xe0\xa6\xbf:'
